Dept_Name,Narrative
Property Tax,"Property tax or Ad valorem taxes are the largest source of revenue for Walton County and result from the levy of taxes on real property and tangible personal property.

Preparation of the proposed ad valorem tax budget utilizes the Property Appraiser's final taxable values, which are typically finalized on the DR-420 (Certificate of Taxable Value) form on July 1. Millage rates are charged against the taxable value to arrive at the total tax on each parcel. One mill equals a $1 tax for each $1,000 of taxable value. 

Property Tax revenues for Walton County have consistently increased, reflecting rising property values due to new construction within the County. The projection for Property taxes is supported by an increase in the County-Wide Certified Taxable Value, rising from $46.5 billion in fiscal year 2026 to $49 billion in fiscal year 2027. In accordance with statutory budgeting practices, the County budgets only 95% of anticipated Property tax collections, providing a conservative estimate that accounts for potential delinquencies and collection variances.

[Office of Economic and Demographic Research-Florida County Ad Valorem Tax Profiles](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Fadvaltxco.xlsx&wdOrigin=BROWSELINK)
"
Tourist Development Tax,"Walton County Tourist Development Tax (TDT) were established in accordance with Florida Statute 125.0104. The Walton County Tourism Department and its related divisions are funded by these taxes collected from visitors on short-term lodging rentals within two distinct TDT districts. The South Walton TDT district collects 5% on short-term rental accommodations located south of the Intracoastal Waterway, while the North Walton TDT district collects 3% on short-term rental accommodations located north of the Intracoastal Waterway.

Tourist Development Tax revenues have seen growth in prior years, resulting from increased tourism. It is projected to remain flat for fiscal year 2027, which is a natural rebalancing as global travel normalizes post-pandemic.

[Office of Economic & Demographic Research 9 Local Option TDT Tax Rates)](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2FLOTTrates.xlsx&wdOrigin=BROWSELINK)"
Local Discretionary Sales Surtax,"Walton County's discretionary 1-cent small county surtax, authorized under Florida Statute 212.055(3) and established by Ordinance No. 94-16 adopted December 5th, 1994, is the funding mechanism for solid waste collection and disposal throughout the county. This funding source also provides a significant portion of funding for capital projects. The tax is ongoing and does not have a sunset clause.

While revenues from the surtax experienced steady growth over many years, collections have remained relatively flat in recent fiscal years, reflecting a stabilization in consumer spending patterns and economic activity that impacts sales tax revenue. Despite this leveling off, the surtax continues to be a critical source of funding for essential county services and infrastructure investments.

[Ordinance 94-16](https://waltonclerk.com/vertical/sites/%7BA6BED226-E1BB-4A16-9632-BB8E6515F4E0%7D/uploads/1994-16.pdf)

[Office of Economic & Demographic Research (Local Option Sales Tax)](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Fdiscstxco.xlsx&wdOrigin=BROWSELINK)"
Local Option Fuel Tax,"In Walton County, the local option fuel tax, established under Florida Statute 206.41(1)(e) and applied according to Statute 336.025, finances essential transportation and infrastructure projects. The tax is set at five cents per gallon for motor fuel and diesel fuel, with an additional one-cent tax known as the ""ninth cent."" These funds are used for maintaining and repairing county roads and bridges, enhancing traffic safety, and improving public transportation. This revenue ensures that transportation remains safe, reliable, and efficient for both residents and visitors, supporting the county's growth and development. According to Florida Statute 336.025, counties can impose this local option fuel tax for up to ten years, meaning it will need to be renewed in 2028 to continue its benefits.

The Local Option Fuel Tax and Ninth Cent Tax have maintained a relatively stable revenue stream, with minor fluctuations. This stability underscores consistent fuel consumption and reliable tax collection efforts.

[Ordinance 2017-20](https://waltonclerk.com/vertical/sites/%7BA6BED226-E1BB-4A16-9632-BB8E6515F4E0%7D/uploads/2017-20.pdf)

[Office of Economic & Demographic Research (Local Option Fuel Tax)](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Flocfueltxco.xlsx&wdOrigin=BROWSELINK)"
Local Government Half-Cent Sales Tax,"In Florida, the local government half-cent sales tax program, established under Florida Statute 218.61, is a key revenue source for municipalities and counties. This program allocates a half-cent of the state's sales tax to local governments, supporting infrastructure projects, public safety, parks, and other essential services. The funds, distributed monthly, enable local governments to enhance community services and facilities, fostering improved quality of life across the state.

The Local Government 1/2 Cent Sales Tax has shown steady growth over the years, with significant peaks during the summer months reflecting strong economic activity. It is projected to remain flat in fiscal year 2027 due to inflationary pressure and stabilized consumer spending. 

[Office of Economic & Demographic Research (Local Option Government Half-Cent Sales Tax](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Fhfctstxco.xlsx&wdOrigin=BROWSELINK)"
State Fuel Taxes,"These taxes are collected by the state and remitted to the county. The Constitutional Fuel Tax, outlined in Florida Statute §206.41(1)(a), imposes a 2-cent-per-gallon tax for road construction and maintenance, distributed based on a formula. The County Fuel Tax, under Florida Statute §206.60, allows for up to a 1-cent-per-gallon tax for county transportation projects, with distribution based on fuel consumption. The Municipal Fuel Tax, as per Florida Statute §206.605, imposes a 1-cent-per-gallon tax for municipal road maintenance, distributed based on population. If a municipality lacks the capacity to manage transportation projects, it may pass a resolution authorizing the Florida Department of Transportation or the county (if the county agrees and has the capacity) to perform or oversee the engineering and construction of those projects.

Fuel tax revenues have been relatively stable, with slight increases year-over-year. This stability indicates consistent fuel consumption.

[Office of Economic & Demographic Research (Constitutional Fuel Tax)](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Fconstfueltxco.xlsx&wdOrigin=BROWSELINK)

[Office of Economic & Demographic Research (County Fuel Tax)](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Fcofueltxco.xlsx&wdOrigin=BROWSELINK)

[Federal, State, and County Tax Rates on Motor Fuel and Diesel Fuel](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2FLOFTrates.xlsx&wdOrigin=BROWSELINK)"
State Revenue Share Proceeds,"The Florida Revenue Sharing Act of 1972 was a significant legislative effort to ensure a minimum level of revenue parity across local government units. An allocation formula is used to distribute 2.9 percent of net cigarette tax collections and 2.044 percent of sales and use tax collections among qualifying counties. This formula considers each county's total population, unincorporated population, and sales tax collections to determine its share.

State Revenue Share Proceeds have generally increased over time, but the most recent year showed a slight decline. This suggests that revenues may be stabilizing, reflecting a potential plateau in the underlying economic activity that drives these distributions.

[Office of Economic & Demographic Research (Revenue Sharing Proceeds)](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Fcorevshco.xlsx&wdOrigin=BROWSELINK)"
Section 8 Housing Choice Voucher Program,"Walton County receives federal funding through the Section 8 Housing Choice Voucher (HCV) Program, administered by the Walton County Housing Agency under contract with the U.S. Department of Housing and Urban Development (HUD).

These funds support rental assistance for eligible low-income families and help cover administrative functions such as application review, eligibility verification, housing inspections, and ongoing compliance monitoring. The program is operated under an Annual Contributions Contract with HUD, with all revenue restricted to eligible housing activities defined by federal regulations.

This funding plays a key role in expanding access to affordable housing in Walton County and supporting the day-to-day operations of the local Housing Agency. Annual revenues fluctuate based on federal appropriations and local demand."
Sheriff Resource Officers,"In accordance with the contractual agreements between the Walton County Sheriff’s Office and the Walton County School District, funds are received from the District to support the Sheriff’s Office in providing School Resource Officers (SROs) at schools throughout the county. This revenue ensures that the Sheriff’s Office can fulfill its obligations under the agreement, maintaining trained personnel and necessary resources to promote a safe and secure learning environment for students and staff."
Intergovernmental Revenue,"The remaining revenues within the Intergovernmental Revenue category consist of various state-shared and state-distributed funds. These include revenues from the state-shared cigarette tax, alcoholic beverage licenses, E911 communication taxes, insurance agent license fees, mobile home licenses, racing or gambling tax proceeds, state payments in lieu of taxes, and state aid for mosquito control. These state-distributed revenues help support essential county operations and public services, enhancing Walton County’s ability to meet community needs."
Planning Fees,"Planning fees are essential for supporting our country's development processes, including zoning applications, site plan reviews, and land use changes. These fees fund the Planning Department's operations, ensuring timely application processing, professional reviews, and high service standards. They help maintain infrastructure, promote smart growth, and enhance community engagement. This revenue stream is vital for sustainable development and maintaining our residents' quality of life.

Planning fees have remained relatively stable; however, the introduction of short-term rental certification has caused this category to increase starting in fiscal year 2024. 

[Planning Fee Schedule](https://www.co.walton.fl.us/DocumentCenter/View/40860/Resolution-2022-49---Fee-Schedule)"
Eagle Springs Golf and Recreation Center Revenue,"Eagle Springs revenue is generated through various recreation-based fees, including green fees, cart fees, membership dues, pro shop sales, and food and beverage services. These revenues support the daily operations of the course, helping to fund staffing, maintenance, and overall facility upkeep.

Revenue has increased in recent years due to both higher participation and scheduled fee increases that reflect the growing popularity of the course's amenities. Membership and green fee revenues in particular have seen consistent growth, driven by increased community usage and demand for recreational services.

This funding stream is essential for maintaining the quality of services and ensuring that park users continue to benefit from well-managed and well-maintained facilities. Projections for FY 2025 and FY 2026 reflect this upward trend, with budgets adjusted to account for both historical performance and continued demand."
Ambulance Fees,"Ambulance fee revenue is collected through the provision of emergency medical transport services within Walton County. These fees are billed to patients or their insurance providers following transport by EMS personnel.

Revenue generated from ambulance services is deposited into the Fine and Forfeiture Fund, where it directly supports the operations of Walton County Sheriff Fire Rescue. This includes funding for personnel, vehicles, medical equipment, and other essential resources required to deliver timely and effective emergency response."
Fire Rescue MSBUs,"The Walton County Fire Rescue Municipal Service Benefit Unit (MSBU) is a vital funding mechanism established to support fire rescue services, facilities, and programs throughout the county. The assessment rates for residential properties are set at $75.00 per dwelling unit, while non-residential properties are charged based on their usage category: $0.12 per square foot for commercial, $0.01 for industrial/warehouse, and $0.12 for institutional properties. Land properties, such as agricultural or vacant land, are assessed at a rate of $0.07 per acre.

The Fire Rescue MSBU revenues have remained stable, showing a steady collection of assessments for fire rescue services. 

[Rate Resolution](https://www.mywaltonfl.gov/DocumentCenter/View/45377/2026-Preliminary-Rate-Resolution)"
Charges for Services,"The remaining revenue in the Charges for Services category includes revenues collected by the County in exchange for specific services provided to the public. These revenues consist of animal shelter fees, public records fees, cremation fees, the $2 court recording fee, landfill fees, library fees, lien search fees, prisoner housing revenue, and the $65 fee established under Florida Statute 939.185. These service-based revenues help offset the costs of providing public programs and operational services."
Building Permits,"Revenue from building permits is generated from fees collected for the issuance of permits required for new construction, renovations, and various building projects. These funds support the operations of the Building Department, ensuring that construction projects meet safety and regulatory standards.

Beginning in Fiscal Year 2026, building permit fees will be temporarily suspended to bring the Building Fund balance into compliance with statutory requirements. The Board of County Commissioners will reinstate the fees once the fund balance returns to the statutory limit.

[Office of Economic & Demographic Research (Building Permit Fees)](https://view.officeapps.live.com/op/view.aspx?src=http%3A%2F%2Fedr.state.fl.us%2FContent%2Flocal-government%2Fdata%2Fdata-a-to-z%2Fbldgfeeco.xlsx&wdOrigin=BROWSELINK)"
Beach Activity & Event Permits,"Walton County provides a range of beach activity permits, including Beach Vehicle Permits, Dogs on the Beach Permits, Beach Vending Permits, and Beach Bonfire Permits. These permits are regulated under the Walton County Beach Activities Ordinance 2024-21 which detail the application and approval processes.

Permit activity has shown a steady increase in recent years, driven by continued tourism growth and broader economic activity in the region. This upward trend reflects the County’s ongoing appeal as a coastal destination and the increasing demand for access to recreational beach activities."
Ordinance Fines,"Ordinance fines serve in promoting compliance with local regulations and supporting various community services. These fines cover a range of areas, including parking violations, animal control, beach activities, and handicap parking. By enforcing these ordinances, the county not only upholds public safety and order but also generates funds that contribute to essential public services, ensuring the well-being and quality of life for our residents.

Ordinance fines, particularly those related to parking, have stabilized in recent years. This trend suggests that enforcement efforts have reached a consistent level and that compliance with local regulations has improved and remained steady."
Recreation Plat Fee,"The Recreation Plat Fee accounts for specific assessments charged to property developers to provide recreational facilities within Walton County, in lieu of providing recreational facilities as part of a development. Budgeted expenditures within the Recreation Plat Fee fund are typically allocated to the construction and maintenance of recreation facilities, including parks and community centers."
Interest,"Interest is the income earned from the county's investments, such as certificates of deposit (CDs), money market funds, and bonds. These investments generate interest by lending our funds to financial institutions or entities, which then pay us for using that money. Our largest interest revenue comes from Corporate Bonds and other similar investments."
Sidewalk Fund,The Sidewalk Fund accounts for assessments charged to developers in lieu of construction of sidewalks as required by the Walton County Land Development Code. Budgeted expenditures within the Sidewalk fund are used for the construction or repair of sidewalks or multi use paths within Walton County.
E911 Fund,The E911 fund accounts for phone charges assessed for the purpose of providing emergency assistance. E911 is a system used in North America that links emergency callers with the appropriate public resources within that geographic area. The State of Florida requires E911 receipts to be maintained in a separate general ledger fund. These funds are transferred to the Sheriff’s fund to be used for E911 expenditures and are included in the Sheriff’s overall budget total.
Municipal Service Benefit Unit Fund,"Chapter 125.01(q) 1 of the Florida Statutes authorizes the Board of County Commissioners (BCC) to create or abolish an MSBU. The law permits such districts to be created for the purpose of providing and maintaining facilities or services (such as fire services) which specifically benefit property owners in a particular area. The facilities or services must provide a public purpose. Chapter 197.3632 of the Florida Statutes provides for the levy, collection, and enforcement of non-ad valorem assessments through the uniform method.

The initiation of a MSBU can be requested by property owners in the unincorporated area of Walton County.  Municipal Service Benefit Unit improvements can include potable water, sanitary sewer, reuse water, roadway paving, canal dredging, or drainage improvements. This public service must be approved by the Board of County Commissioners. The main purpose of this program is to retrofit existing developments with an improvement that at least 66.66% of the affected property owners have requested and approved. The MSBU improvements are funded by service charges, special assessments, or taxes within the MSBU for the cost of the improvements.

Following the finalization and acceptance of the project by the Board of County Commissioners, affected owners have a 30-day period to pay any part or all of the special assessment charge with no interest. If payment in full is not received, interest will accrue on a monthly basis following the 30-day period. The annual billing for the special assessment takes place in November of each year. The bill will include the annual principal payment plus accrued interest. The installment payment must be made by December 31st of each year to prevent additional interest/penalties from accruing on the special assessment account.

The MSBU, or Municipal Service Benefit Unit, Fund accounts for special assessments charged to various property owners to provide for infrastructure within that specific geographic area. A Municipal Services Benefit Unit is a non-ad valorem assessment district established to provide funding for improvements in a specific geographic area within the county.

[Daughette Canal MSBU Resolution](https://www.mywaltonfl.gov/DocumentCenter/View/45400/2025-54)"
