Dept_Name,Position_ID*,Position_Name,Hourly_Base_Wage,Standard_Hours_per_Year,Allocation,Fund,Commissioner_Vehicle_Allowance,Health_Plan,Coverage,Pension_Plan,Risk_Code,Weekend_Pay
00117000,,Facilities Maintenance Technician II,$26.39,2080,100.00%,001,$0,FB1,EE,7210,9015,$100
00117000,252,Facilities Maintenance Technician II,$31.94,2080,100.00%,001,$0,FB2,FAM,7210,9015,$100
00117000,253,Facilities Maintenance Technician II,$24.62,2080,100.00%,001,$0,FB2,EE,7200,9015,$100
00117000,254,Facilities Maintenance Technician III,$34.01,2080,100.00%,001,$0,FB2,EE,7210,9015,$100
00117000,255,Facilities Maintenance Technician I,$21.27,2080,100.00%,001,$0,FB3,EE,7210,9015,$100
00117000,256,Facilities Maintenance Technician III,$30.65,2080,100.00%,001,$0,FB2,EE,7225,9015,$100
00117000,257,Facilities Maintenance Technician II,$22.19,2080,100.00%,001,$0,FB2,EE,7210,9015,$100
00117000,258,Facilities Maintenance Technician II,$24.20,2080,100.00%,001,$0,FB3,EE,7210,9015,$100
00117000,259,Facilities Maintenance Technician I,$20.90,2080,100.00%,001,$0,FB2,EE,7210,9015,$100
00117000,260,Facilities Maintenance Technician II,$21.43,2080,100.00%,001,$0,FB2,EE,7245,9015,$100
00117000,261,Facilities Maintenance Technician I,$20.54,2080,100.00%,001,$0,FB1,EE,7210,9015,$100
00117000,262,Facilities Maintenance Technician I,$19.84,2080,100.00%,001,$0,FB1,EE,7225,9015,$100
00117000,263,Facilities Maintenance Technician I,$19.50,2080,100.00%,001,$0,FB2,EE,7210,9015,$100
00117000,264,Facilities Maintenance Technician I,$18.83,2080,100.00%,001,$0,FB6,FAM,7225,9015,$100
00117000,265,Executive Assistant,$28.78,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00117000,266,Work Order Supervisor,$30.58,2080,100.00%,001,$0,FB5,FAM,7210,9015,$0
00117000,267,Construction Foreman,$38.53,2080,100.00%,001,$0,FB1,FAM,7210,9015,$0
00117000,268,Administrative Assistant,$22.33,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00117000,269,Director of Building Construction & Maintenance,$61.68,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00117000,270,Facilities Maintenance Technician I,$20.54,2080,100.00%,001,$0,FB2,EE,7210,9015,$100
00117000,271,Facilities Maintenance Technician I,$18.19,2080,100.00%,001,$0,FB2,EE,7210,9015,$100
00117000,272,Facilities Maintenance Technician I,$22.25,2080,100.00%,001,$0,FB1,EE,7210,9015,$100
00117000,273,Facilities Maintenance Technician I,$18.19,2080,100.00%,001,$0,FB1,EE,7210,9015,$100
11040010,274,FSS Program Coordinator,$23.36,2080,100.00%,110,$0,FB1,EE,7210,8810,$0
00105000,275,GIS Specialist,$31.39,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00105000,276,GIS Technician II,$31.09,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00105000,,GIS Technician I,$29.10,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00105000,277,GIS Data Coordinator,$38.84,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00105000,278,GIS Analyst II,$41.63,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00105000,279,Director of GIS,$50.84,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00112010,280,Golf Course Grounds Crew,$19.64,2080,100.00%,001,$0,FB2,EE,7210,9060,$500
00112010,281,Golf Course Grounds Crew,$21.42,2080,100.00%,001,$0,FB2,EE,7225,9060,$500
00112010,282,Golf Course Grounds Crew,$19.30,2080,100.00%,001,$0,FB1,EE,7225,9060,$500
00112010,283,Golf Course Attendant,$16.57,2080,100.00%,001,$0,FB1,FAM,7225,9060,$500
00112010,284,Assistant Golf Course Superintendent,$28.97,2080,100.00%,001,$0,FB2,FAM,7210,9060,$0
00112010,285,Golf Course Spray Technician,$20.98,2080,100.00%,001,$0,FB6,FAM,7210,9060,$500
00112010,286,Golf Course & Sports Park Superintendent,$42.12,2080,100.00%,001,$0,FB2,FAM,7210,9060,$0
00112010,287,Golf Course Attendant,$16.00,1040,100.00%,001,$0,,,7225,9060,$500
00112010,288,Golf Course Attendant,$16.00,2080,100.00%,001,$0,FB1,FAM,7225,9060,$500
00112010,289,Golf Course Grounds Crew,$19.70,2080,100.00%,001,$0,FB2,EE,7210,9060,$500
00112010,290,Golf Course Attendant,$15.72,1040,100.00%,001,$0,,,7225,9060,$500
00112010,291,Golf Course Grounds Crew,$16.51,1040,100.00%,001,$0,FB2,EE,7225,9060,$500
00112010,,Golf Course Grounds Crew,$16.51,1040,100.00%,001,$0,FB2,EE,7225,9060,$500
00112010,292,Golf Course Grounds Crew,$16.80,1040,100.00%,001,$0,FB2,EE,7225,9060,$500
00112010,293,Golf Course Attendant,$17.36,1040,100.00%,001,$0,,,7225,9060,$500
00106000,294,Employee Relations Manager,$38.34,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00106000,295,HRIS Coordinator,$33.09,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00106000,296,Human Resources Technician,$22.19,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00106000,297,Administrative Assistant,$19.44,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00106000,298,Human Resources Supervisor,$35.34,2080,100.00%,001,$0,FB3,FAM,7225,8810,$0
00106000,299,Human Resources Generalist,$27.16,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00106000,300,Risk & Safety Manager,$36.27,2080,100.00%,001,$0,FB2,FAM,7225,8810,$0
00106000,,Benefits Coordinator ,$29.11,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00106000,301,Director of Human Resources,$63.10,2080,100.00%,001,$0,FB3,EE,7235,8810,$0
00106000,302,Human Resources Generalist,$27.16,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00106000,303,Administrative Support Specialist,$20.41,2080,100.00%,001,$0,FB1,FAM,7210,8810,$0
11141000,304,Human Resources Generalist - Tourism,$27.16,2080,100.00%,111,$0,FB3,EE,7225,8810,$0
00106000,305,Human Resources Generalist - Tourism,$27.16,2080,0.00%,001,$0,FB3,EE,7225,8810,$0
11040000,306,Director of Housing,$55.90,2080,100.00%,110,$0,FB1,EE,7225,8810,$0
11040000,307,Assistant Hud Director,$36.30,2080,100.00%,110,$0,FB1,EE,7210,8810,$0
00103000,308,Public Records Coordinator,$33.91,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00103000,309,Paralegal,$33.80,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00103000,310,Records Management Liaison Officer,$34.18,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00103000,311,Assistant County Attorney,$73.94,2080,100.00%,001,$0,FB3,EE,7220,8820,$0
00103000,312,Assistant County Attorney,$72.49,2080,100.00%,001,$0,FB2,EE,7235,8820,$0
00103000,313,Public Records Technician I,$23.31,2080,100.00%,001,$0,FB2,EE,7225,8810,$0
00103000,314,Contracts Manager,$44.30,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
00103000,,Contracts Coordinator,$29.81,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
11141040,,Content & Public Relations Specialist,$29.93,2080,100.00%,111,$0,FB2,EE,7225,8810,$250
00103000,315,Public Records Technician I,$18.24,2080,100.00%,001,$0,FB3,EE,7200,8810,$0
00108000,316,Library Clerk,$18.64,2080,100.00%,001,$0,FB3,EE,7210,8810,$250
00108000,317,Library Clerk,$18.97,2080,100.00%,001,$0,FB2,EE,7210,8810,$250
00108000,318,Library Clerk,$24.18,2080,100.00%,001,$0,FB2,EE,7210,8810,$250
00108000,319,Director of Libraries,$44.61,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00108000,320,Library Clerk,$18.97,2080,100.00%,001,$0,FB6,FAM,7210,8810,$250
00108000,321,Library Clerk,$18.01,2080,100.00%,001,$0,FB3,EE,7210,8810,$250
00108000,322,Library Administrative Specialist,$28.88,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00108000,323,Interlibrary Loan Coordinator,$20.62,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00108000,324,Library Branch Manager,$38.48,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00108000,325,Library Youth Services Clerk,$18.01,2080,100.00%,001,$0,FB2,FAM,7210,8810,$250
00108000,326,Library Branch Manager,$31.09,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00108000,327,Library Technology Specialist,$28.60,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00108000,328,Library Youth Services Clerk,$17.70,2080,100.00%,001,$0,FB2,EE,7210,8810,$250
00108000,329,Library Branch Manager,$30.89,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
00108000,330,Library Technical Services Coordinator,$25.33,2080,100.00%,001,$0,FB3,FAM,7225,8810,$250
00108000,331,Outreach Librarian,$27.16,2080,100.00%,001,$0,FB2,EE,7225,8810,$250
00108000,332,Library Youth Services Clerk,$17.95,2080,100.00%,001,$0,FB1,EE,7225,8810,$250
00108000,333,Library Youth Services Clerk,$17.34,1040,100.00%,001,$0,FB1,EE,7225,8810,$250
00108000,334,Library Clerk,$15.99,1040,100.00%,001,$0,FB2,EE,7210,8810,$250
00108000,335,Library Youth Services Clerk,$17.95,2080,100.00%,001,$0,FB2,EE,7210,8810,$250
00108000,336,Library Youth Services Clerk,$17.34,1040,100.00%,001,$0,FB1,$0,7225,8810,$250
10528000,337,Mosquito Control Manager,$35.92,2080,100.00%,105,$0,FB2,EE,7205,8810,$0
10528000,338,Mosquito Control Coordinator,$26.70,2080,100.00%,105,$0,FB2,EE,7210,8810,$250
10528000,339,Mosquito Control Technician II,$20.54,2080,100.00%,105,$0,FB2,EE,7210,9402,$250
10528000,340,Mosquito Control Technician II,$20.54,2080,100.00%,105,$0,FB2,EE,7210,9402,$250
10528000,341,Mosquito Control Technician I,$17.64,2080,100.00%,105,$0,FB2,EE,7210,9402,$250
10528000,342,Mosquito Control Technician II,$20.90,2080,100.00%,105,$0,FB3,EE,7225,9402,$250
00107000,343,Budget Analyst,$35.34,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00107000,344,Budget Analyst,$33.34,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00107000,345,Budget Director,$54.02,2080,100.00%,001,$0,FB2,EE,7225,8810,$0
00107000,346,Chief Financial Officer,$90.96,2080,100.00%,001,$0,FB3,FAM,7220,8810,$0
00107000,347,Grants Coordinator,$31.25,2080,100.00%,001,$0,FB3,EE,7205,8810,$0
00107000,348,Grants Manager,$44.24,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00107000,349,Grants Coordinator,$26.92,2080,100.00%,001,$0,FB3,EE,7205,8810,$0
10116001,350,Asphalt Operator II,$23.31,2080,100.00%,101,$0,FB2,FAM,7210,5509,$100
10116001,,County Shop Foreman,$29.66,2080,100.00%,101,$0,FB2,EE,7210,8380,$0
10116001,351,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,352,Executive Assistant,$23.37,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116001,353,General Equipment Operator,$21.57,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,354,Heavy Equipment Operator,$24.55,2080,100.00%,101,$0,FB4,FAM,7210,5509,$100
10116001,355,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,356,Field Service Technician,$38.40,2080,100.00%,101,$0,FB2,EE,7205,8380,$0
10116001,,Field Service Technician,$38.40,2080,100.00%,101,$0,FB1,EE,7205,8380,$0
10116001,357,Assistant Road Foreman,$31.64,2080,100.00%,101,$0,FB2,EE,7210,5509,$0
10116001,358,Asphalt Operator II,$30.77,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,359,Road Foreman,$38.96,2080,100.00%,101,$0,FB1,EE,7205,5509,$0
10116001,360,General Equipment Operator,$22.72,2080,100.00%,101,$0,FB6,FAM,7210,5509,$100
10116001,361,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,362,Heavy Equipment Operator,$24.98,2080,100.00%,101,$0,FB3,FAM,7210,5509,$100
10116001,363,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7200,5509,$100
10116001,364,Heavy Equipment Operator,$24.55,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,365,Heavy Equipment Operator,$26.78,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,366,Deputy Director of Public Works,$61.81,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116001,367,Heavy Equipment Operator,$25.42,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,368,Assistant Road Foreman,$35.72,2080,100.00%,101,$0,FB2,EE,7210,5509,$0
10116001,369,General Equipment Operator,$24.78,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,370,Public Works Accounting Technician,$38.58,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116001,371,Heavy Equipment Operator,$24.55,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,372,Special Projects Coordinator,$45.36,2080,100.00%,101,$0,FB3,EE,7205,5509,$0
10116001,373,Asphalt Operator II,$24.55,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,374,Administrative Assistant,$21.57,2080,100.00%,101,$0,FB5,FAM,7210,8810,$0
10116001,375,Heavy Equipment Operator,$24.98,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,376,Inventory Control Specialist,$20.33,2080,100.00%,101,$0,FB5,FAM,7210,8810,$0
10116001,377,Road Foreman,$42.49,2080,100.00%,101,$0,FB2,EE,7210,5509,$0
10116001,378,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,379,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,380,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB1,EE,7225,5509,$100
10116001,382,Paint Foreman,$36.62,2080,100.00%,101,$0,FB3,EE,7210,5509,$0
10116001,383,Asphalt Foreman,$36.51,2080,100.00%,101,$0,FB3,FAM,7210,5509,$0
10116001,384,Heavy Equipment Operator,$24.13,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,385,Administrative Assistant,$31.05,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116001,386,General Equipment Operator,$25.65,2080,100.00%,101,$0,FB2,FAM,7210,5509,$100
10116001,387,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB3,FAM,7225,5509,$100
10116001,388,Work Squad Supervisor,$22.97,2080,100.00%,101,$0,FB2,FAM,7210,5509,$0
10116001,389,Heavy Equipment Operator,$25.42,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,390,Work Order Supervisor,$38.55,2080,100.00%,101,$0,FB6,FAM,7210,8810,$100
10116001,391,Automotive Equipment Technician I,$19.16,2080,100.00%,101,$0,FB1,EE,7225,8380,$100
10116001,392,Heavy Equipment Operator,$24.13,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,393,Heavy Equipment Operator,$22.91,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,394,General Equipment Operator,$20.93,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,395,Specialty Crew Foreman,$33.43,2080,100.00%,101,$0,FB6,FAM,7210,5509,$0
10116001,396,Assistant Road Foreman,$28.51,2080,100.00%,101,$0,FB2,EE,7210,5509,$0
10116001,397,General Equipment Operator,$20.93,2080,100.00%,101,$0,FB3,FAM,7225,5509,$100
10116001,398,General Equipment Operator,$21.20,2080,100.00%,101,$0,FB2,FAM,7225,5509,$100
10116001,399,General Equipment Operator,$23.12,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,400,Office Manager,$38.58,2080,100.00%,101,$0,FB4,FAM,7210,8810,$0
10116001,401,Mot Flagger,$19.57,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,402,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,403,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,404,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,FAM,7210,5509,$100
10116001,405,Paint Heavy Equipment Operator,$32.98,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,406,Heavy Equipment Operator,$24.55,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,407,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,408,North Zone Manager,$41.10,2080,100.00%,101,$0,FB2,EE,7225,5509,$0
10116001,409,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,410,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,411,Heavy Equipment Operator,$24.55,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,412,Heavy Equipment Operator,$24.13,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,413,Heavy Equipment Operator,$24.13,2080,100.00%,101,$0,FB2,EE,7205,5509,$100
10116001,414,Administrative Assistant,$20.12,2080,100.00%,101,$0,FB2,FAM,7225,8810,$0
10116001,415,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,FAM,7210,5509,$100
10116001,416,Heavy Equipment Operator,$26.78,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,417,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,418,Heavy Equipment Operator,$22.91,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,419,Heavy Equipment Operator,$24.10,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,420,Sign Shop Technician,$22.72,2080,100.00%,101,$0,FB3,FAM,7225,5509,$100
10116001,421,Automotive Equipment Technician III,$28.10,2080,100.00%,101,$0,FB2,EE,7225,8380,$100
10116001,422,Heavy Equipment Operator,$35.35,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,423,Asphalt Operator I,$19.44,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,424,Automotive Equipment Technician I,$24.43,2080,100.00%,101,$0,FB2,EE,7210,8380,$100
10116001,425,Administrative Assistant,$21.57,2080,100.00%,101,$0,FB6,FAM,7225,8810,$0
10116001,426,Automotive Equipment Technician III,$27.14,2080,100.00%,101,$0,FB2,EE,7210,8380,$100
10116001,427,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,428,General Equipment Operator,$19.44,2080,100.00%,101,$0,FB2,FAM,7225,5509,$100
10116001,,Specialty Crew Foreman,$28.31,2080,100.00%,101,$0,FB1,EE,7210,5509,$0
10116001,,Specialty Crew Foreman,$28.31,2080,100.00%,101,$0,FB1,EE,7210,5509,$0
10116001,429,Specialty Crew Foreman,$28.31,2080,100.00%,101,$0,FB2,EE,7225,5509,$0
10116001,430,General Equipment Operator,$24.78,2080,100.00%,101,$0,FB2,EE,7205,5509,$100
10116001,431,Mot Flagger,$18.97,2080,100.00%,101,$0,FB2,FAM,7200,5509,$100
10116001,432,Automotive Equipment Technician II,$23.31,2080,100.00%,101,$0,FB2,EE,7225,8380,$100
10116001,433,Heavy Equipment Operator,$24.13,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,434,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,435,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,436,Heavy Equipment Operator,$24.98,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,437,General Equipment Operator,$22.72,2080,100.00%,101,$0,FB6,FAM,7210,5509,$100
10116001,438,Fleet Manager,$52.77,2080,100.00%,101,$0,FB3,FAM,7210,8810,$100
10116001,439,Heavy Equipment Operator,$24.13,2080,100.00%,101,$0,FB2,FAM,7210,5509,$100
10116001,440,Heavy Equipment Operator,$30.77,2080,100.00%,101,$0,FB2,FAM,7210,5509,$100
10116001,441,Heavy Equipment Operator,$24.98,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,442,Asphalt Operator II,$23.72,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,443,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,444,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,445,Automotive Equipment Technician II,$28.21,2080,100.00%,101,$0,FB2,EE,7210,8380,$100
10116001,446,Heavy Equipment Operator,$22.51,2080,100.00%,101,$0,FB2,EE,7200,5509,$100
10116001,447,Lowboy Operator,$27.02,2080,100.00%,101,$0,FB2,FAM,7225,8380,$100
10116001,448,General Equipment Operator,$20.93,2080,100.00%,101,$0,FB3,EE,7200,5509,$100
10116001,449,Assistant Road Foreman,$31.64,2080,100.00%,101,$0,FB3,EE,7210,5509,$0
10116001,450,Lead Fabricator/Machinist,$36.59,2080,100.00%,101,$0,FB2,EE,7210,8380,$0
10116001,451,Special Projects Foreman,$43.39,2080,100.00%,101,$0,FB3,EE,7205,5509,$0
10116001,452,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,453,General Equipment Operator,$21.57,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,454,Assistant Road Foreman,$32.19,2080,100.00%,101,$0,FB1,FAM,7210,5509,$0
10116001,455,Paint Maintenance Technician,$22.10,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,456,Road Foreman,$38.96,2080,100.00%,101,$0,FB3,EE,7210,5509,$0
10116001,457,Administrative Assistant,$22.72,2080,100.00%,101,$0,FB5,FAM,7210,8810,$0
10116001,458,Road Foreman,$48.90,2080,100.00%,101,$0,FB3,FAM,7210,5509,$0
10116001,459,Specialty Crew Foreman,$33.43,2080,100.00%,101,$0,FB2,EE,7210,5509,$0
10116001,460,Mot Flagger,$21.72,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,461,Road Maintenance Technician,$17.39,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,462,Public Works Operations Manager,$57.21,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116001,463,Heavy Equipment Operator,$27.25,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,464,Heavy Equipment Operator,$22.33,2080,100.00%,101,$0,FB1,EE,7225,5509,$100
10116001,465,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,466,Road Maintenance Technician II,$18.91,2080,100.00%,101,$0,FB3,EE,7200,5509,$100
10116001,467,Asphalt Operator II,$21.56,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,468,Heavy Equipment Operator,$23.72,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,469,Road Foreman,$39.74,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,470,Heavy Equipment Operator,$22.91,2080,100.00%,101,$0,FB1,EE,7210,5509,$100
10116001,471,Heavy Equipment Operator,$22.91,2080,100.00%,101,$0,FB3,FAM,7210,5509,$100
10116001,472,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB2,FAM,7225,5509,$100
10116001,473,Heavy Equipment Operator,$23.72,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,474,General Equipment Operator,$22.72,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,475,Automotive Equipment Technician I,$22.40,2080,100.00%,101,$0,FB3,EE,7225,8380,$100
10116001,476,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,477,General Equipment Operator,$21.95,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,478,Public Works Director,$65.30,2080,100.00%,101,$0,FB6,FAM,7220,9410,$0
10116001,479,Administrative Assistant,$21.95,2080,100.00%,101,$0,FB3,EE,7225,8810,$0
10116001,480,Heavy Equipment Operator,$23.31,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,481,General Equipment Operator,$19.44,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,482,Administrative Assistant,$22.33,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116001,483,General Equipment Operator,$19.10,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,484,General Equipment Operator,$19.10,2080,100.00%,101,$0,FB3,EE,7210,5509,$100
10116001,485,General Equipment Operator,$19.44,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
10116001,486,General Equipment Operator,$20.00,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,487,Utility Inspector,$31.58,2080,100.00%,101,$0,FB1,EE,7210,9015,$0
10116001,488,Asphalt Operator I,$22.19,2080,100.00%,101,$0,FB2,EE,7210,5509,$100
00117000,489,Parks Maintenance Worker,$21.35,2080,100.00%,001,$0,FB3,EE,7200,9102,$250
00117000,490,Parks Maintenance Worker,$23.69,2080,100.00%,001,$0,FB3,EE,7210,9102,$250
00117000,491,Parks Maintenance Worker,$19.92,2080,100.00%,001,$0,FB2,EE,7210,9102,$250
00117000,492,Parks & Recreation Foreman,$38.17,2080,100.00%,001,$0,FB1,EE,7210,9102,$0
00117000,493,Parks Maintenance Worker,$19.24,2080,100.00%,001,$0,FB2,EE,7210,9102,$250
00117000,494,Parks Maintenance Worker,$19.92,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00117000,495,Parks Maintenance Worker,$20.62,2080,100.00%,001,$0,FB2,EE,7210,9102,$250
00117000,496,Parks & Recreation Foreman,$28.92,2080,100.00%,001,$0,FB3,EE,7210,9102,$0
00117000,497,Parks Maintenance Worker,$18.91,2080,100.00%,001,$0,FB3,EE,7210,9102,$250
00117000,498,Parks Maintenance Worker,$20.27,2080,100.00%,001,$0,FB2,FAM,7210,9102,$250
00117000,499,Parks Maintenance Worker,$20.27,2080,100.00%,001,$0,FB2,EE,7210,9102,$250
00117000,500,Parks Maintenance Worker,$22.10,2080,100.00%,001,$0,FB2,EE,7210,9102,$250
00117000,501,Parks Maintenance Worker,$18.26,2080,100.00%,001,$0,FB2,EE,7225,9102,$250
00117000,502,Equipment Operator,$26.10,2080,100.00%,001,$0,FB2,FAM,7210,9102,$250
00117000,503,Assistant Foreman,$27.14,2080,100.00%,001,$0,FB3,EE,7210,9102,$250
00117000,,Assistant Foreman,$27.14,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00117000,504,Parks Maintenance Worker,$18.26,2080,100.00%,001,$0,FB2,EE,7225,9102,$250
00117000,505,Parks Maintenance Worker,$19.92,2080,100.00%,001,$0,FB2,EE,7225,9102,$250
00117000,506,Parks Maintenance Worker,$17.34,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00117000,507,Parks Maintenance Worker,$18.26,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00117000,508,Parks Maintenance Worker,$17.34,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00117000,509,Parks Maintenance Worker,$18.26,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00117000,510,Parks Maintenance Worker,$17.64,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00117000,511,Parks Maintenance Worker,$17.34,2080,100.00%,001,$0,FB1,EE,7210,9102,$250
00104000,512,Building Plans Review Manager,$40.38,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
